"","TransIdentifier","Liquid_Src","Non_Liquid_Src","Amount","Purchase","difference"
"819","FXT-CBVJ-MUZ",0,120551.02,120551.0234,120551.02,0
"820","FXT-CENF-JFN",37008.44,0,37008.4414,37008.44,0
"839","FXU-CCBU-SPR",104443,0,208886,104443,104443
"845","FXU-CGH6-W53",201868,0,807472,201868,605604
"846","FXU-CJOC-KB7",26264.86,0,26264.8594,26264.86,0
"851","FXV-BZQJ-ORB",22532.96,0,22532.9609,22532.96,0
"857","FXV-CHWY-L7G",229641.45,0,229641.4531,229641.45,0
"858","FXV-CKSF-J5D",0,128167,256334,128167,128167
"867","FXW-BQH2-TPE",25634.43,0,51268.8594,25634.43,25635
"874","FXW-CCAL-4HX",66979.01,0,66979.0078,66979.01,0
"876","FXW-CEUS-VFT",125170.27,0,125170.2734,125170.27,0
"880","FXW-CN6Q-XDI",70084.32,0,140168.6406,70084.32,70085
"888","FXX-BVIO-7IE",72362.12,0,72362.1172,72362.12,0
"950","FY2-CA66-W7L",60000,0,120000,60000,60000
"959","FY2-CFIW-M27",0,23685.45,23685.4492,23685.45,0
"976","FY5-B6O5-JAL",20000,0,40000,20000,20000
"977","FY5-B6QB-SXO",20000,0,40000,20000,20000
"979","FY5-B7EB-L2F",44357.01,0,44357.0117,44357.01,0
"981","FY5-BJQU-3FG",92300,0,184600,92300,92300
"983","FY5-BOXO-GUY",32352.98,0,32352.9805,32352.98,0
"984","FY5-BOZN-AGZ",42000,0,84000,42000,42000
"985","FY5-BP3W-FRM",0,35034.84,35034.8398,35034.84,0
"1011","FY5-CK2L-3I2",21000,11216.2,64432.3984,32216.2,32216
"1014","FY5-PLMN-6OS",37430.88,0,37430.8789,37430.88,0
"1017","FY6-B24B-UR4",1e+06,0,2e+06,1e+06,1e+06
"1031","FY6-BP7L-JQB",10000,0,20000,10000,10000
"1033","FY6-BQJJ-NBI",68800,0,137600,68800,68800
"1035","FY6-BULX-UR4",367102.24,0,734204.5,367102.24,367102
"1044","FY6-CARJ-CYU",20000,0,40000,20000,20000
"1046","FY6-CBJG-UXG",0,93516.68,93516.6797,93516.68,0
"1057","FY6-CHA6-OGV",0,100489.55,100489.5469,100489.55,0
"1058","FY6-CHFR-2NU",37083.22,0,37083.2188,37083.22,0
"1066","FY6-CMBS-T3Q",25074.81,0,25074.8105,25074.81,0
"1068","FY6-COUN-YW4",0,165000,330000,165000,165000
"1071","FY7-B22F-4E7",20000,0,40000,20000,20000
"1079","FY7-B4AU-WZT",165346,0,330692,165346,165346
"1095","FY7-BZNR-WC4",58125,0,116250,58125,58125
"1096","FY7-CA36-NTJ",49624.45,0,49624.4492,49624.45,0
"1131","FYC-BVHO-FIR",99823.93,0,99823.9297,99823.93,0
"1142","FYD-BQOG-GUA",1e+05,0,2e+05,1e+05,1e+05
"1143","FYD-BWSW-TRW",45500,0,136500,45500,91000
"1152","FYD-CJRQ-MWR",182800,0,548400,182800,365600
"1162","FYE-BPOY-FNP",277898.2,0,833694.625,277898.2,555797
"1165","FYE-BU7V-OEH",0,38495.03,38495.0312,38495.03,0
"1167","FYE-BVOZ-AJK",0,38452.15,38452.1484,38452.15,0
"1170","FYE-BWI5-KJL",33000,0,132000,33000,99000
"1175","FYE-CAOV-PZX",154000,0,308000,154000,154000
"1176","FYE-CCMS-ZBF",115000,0,230000,115000,115000
